"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205"
"11",9779,14282,15186,16093,17002,17891,18812,19680,20524,21451,22353,23218,24089,25015,25949,26836,27756,28662,29590,30517,31413,32322,33254,34180,35081,36009,36938,37821,38742,39629,40529,41459,42342,43232,44132,45031,45909,46828,47750,48672,49588,50484,51400,52261,53177,54034,54903,55774,56670,57563,58431,59293,60182,61065,61927,62799,63693,64616,65524,66428,67315,68187,69095,69968,70879,71807,72679,73531,74409,75292,76155,77067,77961,78833,79720,80618,81486,82382,83302,84222,85138,86012,86897,87785,88692,89589,90491,91361,92286,93207,94087,94983,95895,96819,97689,98595,99523,100427,101289,102150,103019,103898,104787,105658,106581,107512,108439,109332,110214,111103,112024,113741,114621,115544,116423,117305,118217,119080,119944,120847,121766,122639,123526,124391,125266,126136,127057,127944,128852,129745,130666,131581,132466,133338,134221,135074,135932,136863,137764,138673,139550,140467,141335,142207,143093,143968,144874,145742,146602,147519,148444,149344,150264,151139,152019,152916,153823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",978,7526,8082,8416,8535,8782,14283,15187,16094,17003,17892,18813,19681,20525,21452,22354,24090,25016,25950,26837,27757,28663,29591,30518,31414,32323,33255,34181,35082,36010,36939,37822,38743,39630,40530,41460,42343,43233,44133,45032,45910,46829,47751,48673,49589,50485,51401,52262,53178,54035,54904,55775,56671,57564,58432,59294,60183,61066,61928,62800,63694,64617,65525,66429,67316,68188,69096,69969,70880,71808,72680,73532,74410,75293,76156,77068,77962,78834,79721,80619,81487,82383,83303,84223,85139,86013,86898,87786,88693,89590,91362,92287,93208,94088,94984,95896,97690,98596,99524,102151,103899,104788,105659,106582,107513,108440,109333,110215,111104,112025,112903,113742,114622,115545,116424,117306,118218,119081,119945,120848,121767,122640,123527,124392,125267,126137,127058,127945,128853,129746,130667,131582,132467,133339,134222,135075,135933,136864,137765,138674,139551,140468,141336,142208,143094,143969,144875,145743,146603,147520,148445,149345,150265,151140,152020,152917,153824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",868,8561,9775,14284,15188,16095,17004,17893,18814,19682,20526,21453,23219,24091,25017,25951,26838,27758,28664,29592,30519,31415,32324,33256,34182,35083,36011,36940,37823,38744,39631,40531,41461,42344,43234,44134,45033,45911,46830,47752,48674,49590,50486,51402,52263,53179,54036,54905,55776,56672,57565,58433,59295,60184,61067,61929,62801,63695,64618,65526,66430,67317,68189,69097,69970,70881,71809,72681,73533,74411,75294,76157,77069,77963,78835,79722,80620,81488,82384,83304,84224,85140,86014,86899,87787,88694,89591,90492,91363,92288,93209,94089,94985,95897,96820,97691,98597,99525,100428,102152,103020,103900,104789,105660,106583,107514,108441,109334,110216,111105,112026,113743,114623,115546,116425,117307,118219,119082,119946,120849,121768,122641,123528,124393,125268,126138,127059,127946,128854,129747,130668,131583,132468,133340,134223,135076,135934,136865,137766,138675,139552,140469,141337,142209,143095,143970,144876,145744,146604,147521,148446,149346,150266,151141,152021,152918,153825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",977,14285,15189,16096,17005,17894,18815,19683,20527,21454,22355,24092,25018,25952,26839,27759,28665,29593,30520,31416,32325,33257,34183,35084,36012,36941,37824,38745,39632,40532,41462,42345,43235,44135,45034,45912,46831,47753,48675,49591,50487,51403,52264,53180,54037,54906,55777,56673,57566,58434,59296,60185,61068,61930,62802,63696,64619,65527,66431,67318,68190,69098,69971,70882,71810,72682,73534,74412,75295,76158,77070,77964,78836,79723,80621,81489,82385,83305,84225,85141,86015,86900,87788,88695,89592,90493,91364,92289,93210,94090,94986,95898,96821,97692,98598,99526,100429,101290,102153,103021,103901,104790,105661,106584,107515,108442,109335,110217,111106,112027,112904,113744,114624,115547,116426,117308,118220,119083,119947,120850,121769,122642,123529,124394,125269,126139,127060,127947,128855,129748,130669,131584,132469,133341,134224,135077,135935,136866,137767,138676,139553,140470,141338,142210,143096,143971,144877,145745,146605,147522,148447,149347,150267,151142,152022,152919,153826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",7511,14286,15190,16097,17006,17895,18816,19684,20528,21455,22356,23220,24093,25019,25953,26840,27760,28666,29594,30521,31417,32326,33258,34184,35085,36013,36942,37825,38746,39633,40533,41463,42346,43236,44136,45035,45913,46832,47754,48676,49592,50488,51404,52265,53181,54038,54907,55778,56674,57567,58435,59297,60186,61069,61931,62803,63697,64620,65528,66432,67319,68191,69099,69972,70883,71811,72683,73535,74413,75296,76159,77071,77965,78837,79724,80622,81490,82386,83306,84226,85142,86016,86901,87789,88696,89593,91365,92290,93211,94091,94987,95899,96822,97693,98599,99527,100430,101291,102154,103022,103902,104791,105662,106585,107516,108443,109336,110218,111107,112028,112905,113745,114625,115548,116427,117309,118221,119084,119948,120851,121770,122643,123530,124395,125270,126140,127061,127948,128856,129749,130670,131585,132470,133342,134225,135078,135936,136867,137768,138677,139554,140471,141339,142211,143097,143972,144878,145746,146606,147523,148448,149348,150268,151143,152023,152920,153827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",88,179,268,423,562,761,843,967,1179,1348,1529,1621,1811,1997,2096,2163,2259,2396,2498,2588,2762,3125,3283,3468,3822,4125,4460,4689,4777,4992,5091,5201,5284,5531,5641,5771,5981,6099,6177,6266,6371,6479,6561,6680,6957,7068,7165,7267,7517,7751,7851,7938,8079,8409,8524,8770,8874,9267,9631,9746,9909,10072,10184,10357,10493,10605,10766,10874,10973,11090,11200,11568,11789,11887,12096,12250,12444,12536,12623,12722,13125,13317,13432,13686,13949,14047,14135,14287,17896,20529,24094,25020,26841,28667,29595,32327,33259,35086,36014,40534,44137,45914,46833,47755,48677,50489,52266,54039,54908,56675,57568,59298,60187,61932,64621,65529,69973,70884,74414,82387,83307,84227,88697,89594,91366,92291,95900,97694,98600,99528,102155,104792,105663,106586,107517,109337,110219,111108,114626,117310,120852,126141,127062,127949,129750,130671,133343,135937,140472,141340,142212,143973,146607,147524,149349,150269,153828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",3595,8764,10180,12247,13309,13427,14288,15191,16098,17007,17897,18817,19685,20530,21456,22357,23221,24095,25021,25954,26842,27761,28668,29596,30522,31418,32328,33260,34185,35087,36015,36943,37826,38747,39634,40535,41464,42347,43237,44138,45036,45915,46834,47756,48678,49593,50490,51405,52267,53182,54909,55779,56676,57569,58436,59299,60188,61070,61933,62804,63698,64622,65530,66433,67320,68192,69100,69974,70885,71812,72684,73536,74415,75297,76160,77072,77966,78838,79725,80623,81491,82388,83308,84228,85143,86017,86902,87790,88698,89595,90494,91367,92292,93212,94092,94988,95901,96823,97695,98601,99529,100431,101292,102156,103903,104793,105664,106587,107518,108444,109338,110220,111109,112029,112906,113746,114627,115549,117311,118222,119085,119949,120853,121771,122644,123531,124396,125271,126142,127063,127950,128857,129751,130672,131586,132471,133344,134226,135938,136868,137769,138678,139555,140473,141341,142213,143098,143974,146608,147525,148449,149350,150270,151144,152024,152921,153829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1425,2008,5661,5992,6105,11655,14289,15192,16099,17008,17898,18818,19686,20531,21457,22358,23222,24096,25022,25955,26843,27762,29597,30523,31419,32329,33261,34186,35088,36016,37827,38748,39635,40536,41465,42348,43238,44139,45037,45916,46835,47757,48679,49594,50491,51406,52268,53183,54040,54910,55780,56677,57570,58437,59300,60189,61071,61934,62805,63699,64623,65531,66434,67321,68193,69101,69975,70886,71813,73537,74416,77073,77967,78839,79726,80624,81492,82389,83309,84229,85144,86018,86903,87791,88699,89596,90495,91368,92293,93213,94093,94989,95902,96824,97696,98602,99530,100432,101293,102157,103023,103904,104794,105665,106588,107519,108445,109339,110221,111110,112030,112907,113747,114628,115550,116428,117312,118223,119086,119950,120854,121772,122645,123532,124397,125272,126143,127064,127951,128858,130673,131587,132472,133345,134227,135079,135939,136869,137770,138679,139556,140474,141342,142214,143099,143975,144879,145747,146609,147526,148450,149351,150271,151145,152025,152922,153830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",10404,14290,15193,16100,17009,17899,18819,19687,20532,21458,22359,23223,24097,25023,25956,26844,27763,28669,29598,30524,31420,32330,33262,34187,35089,36017,36944,37828,38749,39636,40537,41466,42349,43239,44140,45038,45917,46836,47758,48680,49595,50492,51407,52269,53184,54041,54911,55781,56678,57571,58438,59301,60190,61072,61935,62806,63700,64624,65532,66435,67322,68194,69102,69976,70887,71814,72685,73538,74417,75298,76161,77074,77968,78840,79727,80625,81493,82390,83310,84230,85145,86019,86904,87792,88700,89597,90496,91369,92294,93214,94094,94990,95903,96825,97697,98603,99531,100433,101294,102158,103024,103905,104795,105666,106589,107520,108446,109340,110222,111111,112031,112908,113748,114629,115551,116429,117313,119087,119951,120855,121773,122646,123533,124398,125273,126144,127065,127952,128859,129752,130674,131588,132473,133346,134228,135080,135940,136870,137771,138680,139557,140475,141343,142215,143100,143976,144880,145748,146610,147527,148451,149352,150272,151146,152026,152923,153831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1527,2392,4116,8520,14291,15194,16101,17010,17900,18820,19688,20533,21459,22360,23224,24098,25024,25957,26845,27764,28670,29599,31421,32331,33263,34188,35090,36018,36945,37829,38750,39637,40538,42350,43240,44141,45039,45918,46837,47759,48681,49596,50493,51408,52270,53185,54042,54912,55782,56679,57572,59302,60191,61073,61936,62807,63701,64625,65533,66436,67323,68195,69103,69977,70888,71815,72686,73539,74418,75299,76162,77075,77969,78841,79728,80626,81494,82391,83311,84231,85146,86020,86905,87793,88701,89598,90497,91370,92295,93215,94095,94991,95904,96826,97698,98604,99532,100434,102159,103025,103906,104796,105667,106590,107521,108447,109341,110223,111112,112032,112909,113749,114630,115552,116430,117314,118224,119088,119952,120856,121774,122647,123534,124399,125274,126145,127066,127953,128860,129753,130675,131589,132474,133347,134229,135081,135941,136871,137772,138681,139558,140476,141344,142216,143101,143977,144881,145749,146611,147528,148452,149353,150273,151147,152027,152924,153832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
